317	S241	146.74	0.04
318	S240	146.73	0.04
319	S239+1	146.72	0.04
320	S239	146.71	0.04
321	S238	146.7	0.04
322	S237+1	146.69	0.04
323	S237	146.68	0.04
324	S236	146.67	0.04
325	S235	146.66	0.04
326	S234	146.65	0.04
327	S233	146.64	0.04
328	S232	146.63	0.04
329	S231	146.62	0.04
330	S230	146.61	0.04
331	S229	146.6	0.04
332	S228	146.59	0.04
333	S227	146.58	0.04
334	S226+1	146.57	0.04
335	S226	146.56	0.04
336	S225	146.55	0.04
337	S224	146.54	0.04
338	S223	146.53	0.04
339	S222	146.52	0.04
340	S221	146.51	0.04
341	S220	146.5	0.04
342	S219	146.49	0.04
343	S218	146.48	0.04
344	S217	146.47	0.04
345	S216	146.46	0.04
346	S215	146.45	0.04
347	S214	146.44	0.04
348	S213	146.43	0.04
349	S212	146.42	0.045
350	S211	146.41	0.045
351	S210	146.4	0.045
352	S209	146.39	0.045
353	S208	146.38	0.045
354	S207	146.37	0.045
355	S206	146.36	0.045
356	S202	146.35	0.045
357	S201	146.34	0.045
358	S200	146.33	0.045
359	S199	146.32	0.045
360	S198	146.31	0.045
361	S197	146.3	0.045
362	S196	146.29	0.045
363	S195	146.28	0.045
364	S194	146.27	0.045
365	S193	146.26	0.045
366	S192	146.25	0.045
367	S191	146.24	0.045
368	S190	146.23	0.045
369	S189	146.22	0.045
370	S188	146.21	0.045
371	S187	146.2	0.045
372	S186	146.19	0.045
373	S185	146.18	0.045
374	S184	146.17	0.045
375	S183+1	146.16	0.045
376	S183	146.15	0.045
377	S182	146.14	0.045
378	S181	146.13	0.045
379	S180	146.12	0.045
380	S179	146.11	0.045
381	S178	146.1	0.045
382	S177	146.09	0.045
383	S176	146.08	0.045
384	S175	146.07	0.045
385	S174	146.06	0.045
386	S173	146.05	0.045
387	S172	146.04	0.045
388	S171	146.03	0.045
389	S170	146.02	0.045
390	S169	146.01	0.045
391	S168	146	0.045
392	S167	145.99	0.045
393	S166	145.98	0.045
394	S165	145.97	0.045
395	S164	145.96	0.045
396	S163	145.95	0.045
397	S162	145.94	0.045
398	S161	145.93	0.045
399	S160	145.92	0.045
400	S159	145.91	0.045
401	S158	145.9	0.045
402	S157	145.89	0.045
403	S156	145.88	0.045
404	S155	145.87	0.045
405	S154	145.86	0.045
406	S153	145.85	0.045
407	S152	145.84	0.045
408	S151	145.83	0.045
409	S150	145.82	0.045
410	S149	145.81	0.045
411	S148	145.8	0.045
412	S147	145.79	0.045
413	S146	145.78	0.045
414	S145+1	145.77	0.045
415	S145	145.76	0.045
416	S144	145.75	0.045
417	S143	145.74	0.045
418	S142	145.73	0.045
419	S141	145.72	0.045
420	S140	145.71	0.045
421	S139	145.7	0.045
422	S138	145.69	0.045
423	S137	145.68	0.045
424	S136	145.67	0.045
